CROP,YEAR,SEASON,STATE,AREA,PRODUCTION,ANNUAL_RAINFALL,FERTILIZER,PESTICIDE,YIELD,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL,JF,MAM,JJAS,OND
Horse-gram,2003,Rabi       ,West Bengal,4089,1783,1526.7,404729.22,981.36,0.457272727,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Jowar,2003,Kharif     ,West Bengal,1283,616,1526.7,126991.34,307.92,0.5325,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Jute,2003,Kharif     ,West Bengal,620421,8366723,1526.7,61409270.58,148901.04,14.47764706,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Khesari,2003,Rabi       ,West Bengal,35674,40944,1526.7,3531012.52,8561.76,0.977647059,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Linseed,2003,Rabi       ,West Bengal,6024,1907,1526.7,596255.52,1445.76,0.316923077,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Maize,2003,Kharif     ,West Bengal,55530,126059,1526.7,5496359.4,13327.2,2.133333333,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Masoor,2003,Rabi       ,West Bengal,69380,53186,1526.7,6867232.4,16651.2,0.669411765,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Mesta,2003,Kharif     ,West Bengal,9715,98807,1526.7,961590.7,2331.6,11.30461538,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Moong(Green Gram),2003,Kharif     ,West Bengal,835,431,1526.7,82648.3,200.4,0.61,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Moong(Green Gram),2003,Rabi       ,West Bengal,1470,960,1526.7,145500.6,352.8,0.597692308,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Moong(Green Gram),2003,Summer     ,West Bengal,8823,3400,1526.7,873300.54,2117.52,0.428666667,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Niger seed,2003,Kharif     ,West Bengal,7954,4953,1526.7,787286.92,1908.96,0.54625,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Other Kharif pulses,2003,Kharif     ,West Bengal,760,388,1526.7,75224.8,182.4,0.496,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Peas & beans (Pulses),2003,Rabi       ,West Bengal,14607,17206,1526.7,1445800.86,3505.68,1.140588235,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Potato,2003,Whole Year ,West Bengal,308425,7621635,1526.7,30527906.5,74022,21.86777778,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Ragi,2003,Kharif     ,West Bengal,13417,15505,1526.7,1328014.66,3220.08,0.76,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Rapeseed &Mustard,2003,Rabi       ,West Bengal,452002,419436,1526.7,44739157.96,108480.48,0.845555556,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Rice,2003,Autumn     ,West Bengal,339753,719205,1526.7,33628751.94,81540.72,2.131666667,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Rice,2003,Summer     ,West Bengal,1390148,4289454,1526.7,137596849,333635.52,2.879444444,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Rice,2003,Winter     ,West Bengal,4126706,9653580,1526.7,408461359.9,990409.44,2.283333333,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Safflower,2003,Rabi       ,West Bengal,1372,978,1526.7,135800.56,329.28,0.4925,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Sannhamp,2003,Whole Year ,West Bengal,1273,6669,1526.7,126001.54,305.52,5.142857143,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Sesamum,2003,Whole Year ,West Bengal,163337,143004,1526.7,16167096.26,39200.88,0.763333333,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Small millets,2003,Kharif     ,West Bengal,2756,1828,1526.7,272788.88,661.44,0.8025,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Small millets,2003,Rabi       ,West Bengal,1035,1169,1526.7,102444.3,248.4,1,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Soyabean,2003,Kharif     ,West Bengal,21,15,1526.7,2078.58,5.04,0.72,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Sugarcane,2003,Whole Year ,West Bengal,16903,1252628,1526.7,1673058.94,4056.72,74.46533333,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Sunflower,2003,Kharif     ,West Bengal,8465,5594,1526.7,837865.7,2031.6,0.585333333,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Tobacco,2003,Whole Year ,West Bengal,12996,9598,1526.7,1286344.08,3119.04,0.718,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Turmeric,2003,Whole Year ,West Bengal,12619,24496,1526.7,1249028.62,3028.56,1.866111111,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Urad,2003,Kharif     ,West Bengal,51227,31163,1526.7,5070448.46,12294.48,0.523529412,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Urad,2003,Rabi       ,West Bengal,15147,11106,1526.7,1499250.06,3635.28,0.665,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Wheat,2003,Rabi       ,West Bengal,425721,985686,1526.7,42137864.58,102173.04,2.194444444,0.5,11.7,70,36.3,81.9,280.5,253.4,239.3,155,341.5,8.9,17.7,1496.7,12.2,188.2,928.2,368.1
Arecanut,2004,Whole Year ,Meghalaya,11233,14169,4767.9,1216983.22,2358.93,1.154285714,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Arhar/Tur,2004,Kharif     ,Meghalaya,804,633,4767.9,87105.36,168.84,0.806666667,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Banana,2004,Whole Year ,Meghalaya,6276,67838,4767.9,679941.84,1317.96,10.06571429,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Black pepper,2004,Whole Year ,Meghalaya,895,578,4767.9,96964.3,187.95,0.8,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Castor seed,2004,Kharif     ,Meghalaya,32,20,4767.9,3466.88,6.72,0.693333333,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Coriander,2004,Whole Year ,Meghalaya,53,306,4767.9,5742.02,11.13,5.4925,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Cotton(lint),2004,Kharif     ,Meghalaya,7231,7765,4767.9,783406.54,1518.51,1.046666667,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Dry chillies,2004,Whole Year ,Meghalaya,1844,1303,4767.9,199778.96,387.24,0.844285714,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Garlic,2004,Whole Year ,Meghalaya,365,1139,4767.9,39544.1,76.65,1.79,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Ginger,2004,Kharif     ,Meghalaya,9222,47138,4767.9,999111.48,1936.62,6.122857143,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Gram,2004,Rabi       ,Meghalaya,519,324,4767.9,56228.46,108.99,0.586666667,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Jute,2004,Kharif     ,Meghalaya,4019,20153,4767.9,435418.46,843.99,4.8,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Linseed,2004,Rabi       ,Meghalaya,75,35,4767.9,8125.5,15.75,0.47,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Maize,2004,Kharif     ,Meghalaya,16875,24000,4767.9,1828237.5,3543.75,1.465714286,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Mesta,2004,Kharif     ,Meghalaya,4195,19018,4767.9,454486.3,880.95,4.543333333,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Other  Rabi pulses,2004,Rabi       ,Meghalaya,2103,1645,4767.9,227839.02,441.63,0.76,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Potato,2004,Whole Year ,Meghalaya,17287,141622,4767.9,1872873.58,3630.27,7.178571429,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Rapeseed &Mustard,2004,Rabi       ,Meghalaya,7222,4797,4767.9,782431.48,1516.62,0.64,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Rice,2004,Autumn     ,Meghalaya,32667,37766,4767.9,3539142.78,6860.07,1.492857143,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Rice,2004,Summer     ,Meghalaya,9224,37439,4767.9,999328.16,1937.04,2.078333333,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Rice,2004,Winter     ,Meghalaya,69659,118514,4767.9,7546856.06,14628.39,1.792857143,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Sesamum,2004,Kharif     ,Meghalaya,1628,860,4767.9,176377.52,341.88,0.548333333,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Small millets,2004,Kharif     ,Meghalaya,2652,2241,4767.9,287317.68,556.92,0.957142857,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Soyabean,2004,Kharif     ,Meghalaya,967,935,4767.9,104764.78,203.07,0.915714286,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Sugarcane,2004,Whole Year ,Meghalaya,84,225,4767.9,9100.56,17.64,2.264,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Sweet potato,2004,Kharif     ,Meghalaya,4974,16172,4767.9,538883.16,1044.54,3.352857143,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Sweet potato,2004,Whole Year ,Meghalaya,4974,16172,4767.9,538883.16,1044.54,3.352857143,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Tapioca,2004,Whole Year ,Meghalaya,3975,20644,4767.9,430651.5,834.75,6.367142857,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Tobacco,2004,Whole Year ,Meghalaya,729,479,4767.9,78979.86,153.09,0.55,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Turmeric,2004,Whole Year ,Meghalaya,1682,9016,4767.9,182227.88,353.22,4.715714286,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Wheat,2004,Rabi       ,Meghalaya,863,1564,4767.9,93497.42,181.23,1.156666667,15.3,19.5,72.8,340.8,342.2,397.9,848.4,286.2,317.2,340.8,6.5,6.6,2994.2,34.8,755.8,1849.7,353.9
Arecanut,2005,Whole Year ,Assam,71176,66778,2184.6,8535425.92,14946.96,0.913478261,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Arhar/Tur,2005,Kharif     ,Assam,6473,4529,2184.6,776242.16,1359.33,0.704444444,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Banana,2005,Whole Year ,Assam,41967,577713,2184.6,5032682.64,8813.07,13.70555556,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Castor seed,2005,Kharif     ,Assam,1364,577,2184.6,163570.88,286.44,0.422,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Coconut ,2005,Whole Year ,Assam,19057,204937000,2184.6,2285315.44,4001.97,8486.539565,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Cotton(lint),2005,Kharif     ,Assam,1352,632,2184.6,162131.84,283.92,0.4172,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Dry chillies,2005,Whole Year ,Assam,14688,9494,2184.6,1761384.96,3084.48,0.637407407,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Gram,2005,Rabi       ,Assam,2020,1036,2184.6,242238.4,424.2,0.460769231,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Jute,2005,Kharif     ,Assam,56757,578858,2184.6,6806299.44,11918.97,10.28740741,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Linseed,2005,Rabi       ,Assam,8172,4131,2184.6,979986.24,1716.12,0.493076923,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Maize,2005,Kharif     ,Assam,18969,13745,2184.6,2274762.48,3983.49,0.635925926,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Masoor,2005,Rabi       ,Assam,18583,9877,2184.6,2228473.36,3902.43,0.5112,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Mesta,2005,Kharif     ,Assam,4914,24678,2184.6,589286.88,1031.94,4.650434783,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Moong(Green Gram),2005,Rabi       ,Assam,7512,3428,2184.6,900839.04,1577.52,0.44037037,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Niger seed,2005,Kharif     ,Assam,7374,3787,2184.6,884290.08,1548.54,0.529545455,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Onion,2005,Whole Year ,Assam,7726,18291,2184.6,926501.92,1622.46,2.373333333,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Other  Rabi pulses,2005,Rabi       ,Assam,91945,49684,2184.6,11026044.4,19308.45,0.533703704,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Peas & beans (Pulses),2005,Rabi       ,Assam,17875,11309,2184.6,2143570,3753.75,0.618518519,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Potato,2005,Whole Year ,Assam,69638,353696,2184.6,8350988.96,14623.98,5.326296296,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Rapeseed &Mustard,2005,Rabi       ,Assam,212471,96992,2184.6,25479522.32,44618.91,0.469259259,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Rice,2005,Autumn     ,Assam,398316,398077,2184.6,47766054.72,83646.36,1.132222222,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Rice,2005,Summer     ,Assam,314671,559969,2184.6,37735346.32,66080.91,1.637692308,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Rice,2005,Winter     ,Assam,1707340,2594392,2184.6,204744212.8,358541.4,1.502592593,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Sesamum,2005,Kharif     ,Assam,13864,7702,2184.6,1662570.88,2911.44,0.487777778,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Small millets,2005,Kharif     ,Assam,7714,3947,2184.6,925062.88,1619.94,0.504814815,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Sugarcane,2005,Whole Year ,Assam,23426,871219,2184.6,2809245.92,4919.46,37.99444444,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Sweet potato,2005,Whole Year ,Assam,7269,25858,2184.6,871698.48,1526.49,3.405555556,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Tapioca,2005,Whole Year ,Assam,2777,13261,2184.6,333017.84,583.17,4.458518519,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Tobacco,2005,Whole Year ,Assam,657,351,2184.6,78787.44,137.97,0.504074074,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Turmeric,2005,Whole Year ,Assam,11611,8500,2184.6,1392391.12,2438.31,0.728888889,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Urad,2005,Rabi       ,Assam,35376,17331,2184.6,4242289.92,7428.96,0.488888889,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Wheat,2005,Rabi       ,Assam,49961,53735,2184.6,5991323.12,10491.81,1.084230769,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Arecanut,2005,Whole Year ,Meghalaya,11507,15530,3374.4,1379919.44,2416.47,1.245714286,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Arhar/Tur,2005,Kharif     ,Meghalaya,804,633,3374.4,96415.68,168.84,0.796666667,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Banana,2005,Whole Year ,Meghalaya,6426,71695,3374.4,770605.92,1349.46,10.22428571,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Castor seed,2005,Kharif     ,Meghalaya,33,21,3374.4,3957.36,6.93,0.693333333,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Cotton(lint),2005,Kharif     ,Meghalaya,7231,7768,3374.4,867141.52,1518.51,1.046666667,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Dry chillies,2005,Whole Year ,Meghalaya,1861,1267,3374.4,223171.12,390.81,0.8,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Ginger,2005,Kharif     ,Meghalaya,9625,53609,3374.4,1154230,2021.25,6.558571429,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Gram,2005,Rabi       ,Meghalaya,523,325,3374.4,62718.16,109.83,0.6,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Jute,2005,Kharif     ,Meghalaya,4017,35499,3374.4,481718.64,843.57,7.11,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Linseed,2005,Rabi       ,Meghalaya,78,37,3374.4,9353.76,16.38,0.47,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Maize,2005,Kharif     ,Meghalaya,16898,24424,3374.4,2026408.16,3548.58,1.481428571,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Mesta,2005,Kharif     ,Meghalaya,4436,20212,3374.4,531965.12,931.56,4.563333333,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Other  Rabi pulses,2005,Rabi       ,Meghalaya,2163,1713,3374.4,259386.96,454.23,0.775714286,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Potato,2005,Whole Year ,Meghalaya,17986,167030,3374.4,2156881.12,3777.06,7.768571429,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Rapeseed &Mustard,2005,Rabi       ,Meghalaya,7196,4759,3374.4,862944.32,1511.16,0.62,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Rice,2005,Autumn     ,Meghalaya,32678,43762,3374.4,3918745.76,6862.38,1.597142857,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Rice,2005,Summer     ,Meghalaya,9791,39910,3374.4,1174136.72,2056.11,2.245,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Rice,2005,Winter     ,Meghalaya,63602,124605,3374.4,7627151.84,13356.42,1.971428571,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Sesamum,2005,Kharif     ,Meghalaya,1627,868,3374.4,195109.84,341.67,0.578333333,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Small millets,2005,Kharif     ,Meghalaya,2670,2272,3374.4,320186.4,560.7,0.955714286,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Sugarcane,2005,Whole Year ,Meghalaya,80,219,3374.4,9593.6,16.8,2.342,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
Sweet potato,2005,Whole Year ,Meghalaya,4975,16270,3374.4,596602,1044.75,3.391428571,22.8,30.5,172.2,207.5,281.2,373.9,474.5,501.9,174.9,218.6,8.9,1.3,2468.2,53.3,660.9,1525.2,228.8
